{'flv': {'tm': 1647180159792640091, 'dt': 1, 'sns': [100, 2, 0, 0, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159794148257, 'dt': 1, 'sns': [100, 1, 0, 1, 100], 'sp': 0, 'tn': -20.3}, 'lp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -1, 'o': -20.3, 'po': -0.3, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159795650404, 'dt': 1, 'sns': [100, 0, 1, 2, 100], 'sp': 0, 'tn': -20.6}, 'lp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -2, 'o': -20.6, 'po': -0.6, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159797279161, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159799010084, 'dt': 1, 'sns': [100, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159800574249, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 14, 'tn': -20.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -20.3, 'po': -0.3, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159802097452, 'dt': 1, 'sns': [100, 0, 1, 1, 100], 'sp': 14, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159803736987, 'dt': 1, 'sns': [100, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159805255819, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 14, 'tn': -20.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -20.3, 'po': -0.3, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159806761707, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 14, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159808408520, 'dt': 1, 'sns': [100, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159810032795, 'dt': 1, 'sns': [100, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159811652756, 'dt': 1, 'sns': [99, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159813274254, 'dt': 1, 'sns': [99, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159814911233, 'dt': 1, 'sns': [98, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
