{'dt': 12.255259, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.244463, 'sns': [242, 246, 265, 260, 241]}
{'dt': 12.227519, 'sns': [241, 245, 265, 260, 241]}
{'dt': 12.233167, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.208279, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.215463, 'sns': [241, 245, 264, 259, 241]}
{'dt': 12.218945, 'sns': [242, 246, 265, 260, 241]}
{'dt': 12.242945, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.225093, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.234926, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.224426, 'sns': [241, 246, 264, 259, 241]}
{'dt': 12.228871, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.212259, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.237445, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.285963, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.227741, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.239797, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.230056, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.2195, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.23376, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.228833, 'sns': [241, 246, 265, 258, 241]}
{'dt': 12.221612, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.210759, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.319019, 'sns': [241, 245, 265, 259, 241]}
{'dt': 12.231093, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.221778, 'sns': [241, 246, 264, 260, 241]}
{'dt': 12.210685, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.248852, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.221427, 'sns': [241, 246, 264, 259, 242]}
{'dt': 12.211815, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.222926, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.233241, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.234223, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.247667, 'sns': [241, 245, 265, 259, 241]}
{'dt': 12.221408, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.275277, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.220242, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.231278, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.218185, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.270611, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.225464, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.280444, 'sns': [241, 246, 264, 259, 241]}
{'dt': 12.242982, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.219185, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.211927, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.295037, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.239037, 'sns': [241, 245, 264, 259, 241]}
