{'dt': 12.015183, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.008499, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.001498, 'sns': [791, 692, 853, 668, 684]}
{'dt': 12.007517, 'sns': [791, 733, 861, 668, 683]}
{'dt': 11.98624, 'sns': [790, 733, 861, 668, 684]}
{'dt': 11.973665, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.014665, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.024276, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.004295, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.002406, 'sns': [790, 732, 861, 668, 683]}
{'dt': 11.995333, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.006112, 'sns': [791, 732, 861, 668, 684]}
{'dt': 11.993446, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.012149, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.036519, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.010297, 'sns': [790, 733, 861, 668, 684]}
{'dt': 11.997779, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.000483, 'sns': [791, 733, 861, 668, 684]}
{'dt': 12.00152, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.003704, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.003668, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.036667, 'sns': [791, 733, 860, 668, 684]}
{'dt': 12.106482, 'sns': [790, 732, 860, 667, 684]}
{'dt': 12.017667, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.009242, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.010538, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.007538, 'sns': [791, 732, 860, 668, 684]}
{'dt': 12.011427, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.00863, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.004724, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.010038, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.042778, 'sns': [789, 733, 861, 668, 683]}
{'dt': 12.015056, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.005205, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.003927, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.036223, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.009353, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.011556, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.01302, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.004075, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.007631, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.002038, 'sns': [791, 733, 860, 668, 683]}
{'dt': 12.028241, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.008649, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.008909, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.026556, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.007168, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.03176, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.06587, 'sns': [790, 726, 859, 668, 683]}
{'dt': 12.022371, 'sns': [791, 732, 860, 668, 683]}
{'dt': 12.017372, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.010852, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.006798, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.012075, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.007279, 'sns': [791, 732, 860, 668, 683]}
{'dt': 12.009482, 'sns': [791, 732, 861, 668, 683]}
{'dt': 12.010297, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.031908, 'sns': [790, 733, 860, 668, 683]}
{'dt': 12.010964, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.007242, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.003705, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.005742, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.035371, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.00489, 'sns': [790, 733, 861, 668, 683]}
{'dt': 12.035111, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.011594, 'sns': [790, 732, 778, 667, 683]}
{'dt': 12.018427, 'sns': [791, 733, 861, 668, 683]}
{'dt': 12.03626, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.043907, 'sns': [791, 733, 860, 668, 684]}
{'dt': 12.005039, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.016223, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.008927, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.009519, 'sns': [790, 732, 861, 668, 683]}
{'dt': 12.002279, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.041149, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.007593, 'sns': [790, 732, 861, 668, 684]}
{'dt': 12.005168, 'sns': [790, 733, 860, 668, 684]}
{'dt': 12.008519, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.011964, 'sns': [790, 732, 860, 668, 683]}
{'dt': 12.018464, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.016464, 'sns': [790, 732, 860, 668, 684]}
{'dt': 12.00739, 'sns': [790, 733, 861, 669, 683]}
{'dt': 12.034815, 'sns': [790, 732, 860, 668, 684]}
