{'dt': 12.069662, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.058681, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049718, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058774, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.097976, 'sns': [328, 277, 259, 237, 274]}
{'dt': 12.052922, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.050329, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072477, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.094884, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.104423, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05718, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082217, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.073865, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.052143, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061495, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.046255, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.078846, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058569, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.052495, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.065217, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072106, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.053958, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.057717, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.053273, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.119549, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049884, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.062828, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059402, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.111309, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.073476, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.062587, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.070847, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.062458, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.097123, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061403, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.051532, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.055847, 'sns': [328, 276, 259, 237, 275]}
{'dt': 12.086938, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.069014, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050828, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.062532, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.043514, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.055458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.091883, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.060476, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.119142, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05905, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.090624, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.125531, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061994, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.082736, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.075587, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.080457, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.074383, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.071717, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.081902, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.081494, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.067402, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.057625, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058347, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.085198, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.070013, 'sns': [327, 224, 257, 237, 275]}
{'dt': 12.062273, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058976, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058236, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.081716, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.156474, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.068088, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.046328, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.04507, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.080068, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088828, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.060476, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.077995, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.054458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.077864, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.094569, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.070476, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.047569, 'sns': [320, 276, 259, 237, 275]}
{'dt': 12.072624, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.096587, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.065939, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.056384, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082513, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072421, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.096234, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.048607, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.07355, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.047013, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.499189, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.091589, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049845, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.048086, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.056882, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.040437, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.183991, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.074307, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.069215, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05853, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.103585, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.092288, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.059086, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.060048, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.052345, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.43093, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.069974, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050993, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.050845, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.042178, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.072308, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061659, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.060993, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.05366, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.077974, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.051882, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05316, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.056307, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082919, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.080863, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.071566, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.090567, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.086733, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050585, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.065512, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.093362, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.059086, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.052234, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050808, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.096436, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.0614, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.059901, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.066955, 'sns': [328, 276, 259, 237, 275]}
{'dt': 12.069234, 'sns': [328, 277, 259, 237, 274]}
{'dt': 12.099251, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.083622, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.057197, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088437, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.066363, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.073863, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.060715, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.067252, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.053604, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.085715, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.085066, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.061974, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.058697, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.095437, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.078344, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.103066, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.068845, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.057696, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.099881, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.085215, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.046308, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.056974, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.045271, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.04929, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.481928, 'sns': [320, 276, 259, 237, 275]}
{'dt': 12.052142, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.043326, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.060604, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058104, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.072363, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.061919, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.045586, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.052067, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049382, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.105696, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.489947, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.085751, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.062012, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088584, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059901, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.067921, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.055564, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.053527, 'sns': [328, 277, 259, 237, 274]}
{'dt': 12.074952, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.05862, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.058193, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061157, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.057379, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.074323, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.090415, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.057693, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.048065, 'sns': [327, 276, 258, 237, 275]}
{'dt': 12.074248, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.067842, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05486, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050657, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072619, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.076453, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.06536, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.048064, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.051212, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082508, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.035991, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.073286, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.107377, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.054027, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.055435, 'sns': [327, 276, 258, 237, 275]}
{'dt': 12.081693, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.095619, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.339188, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.115174, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.134785, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088156, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.04999, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.058416, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05686, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.08473, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.063601, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.062175, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.950233, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.975269, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.912826, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.953214, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.912456, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.909085, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.905493, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.911178, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.070638, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.031453, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.063786, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.047898, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.048397, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.097193, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.058249, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.069083, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.087822, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.090897, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.162099, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.070749, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.083026, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.068638, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082545, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.092323, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.065138, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.083952, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.047712, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.083805, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.063582, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.06249, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.082248, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.072694, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.075489, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.055194, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.062953, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.086193, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.063527, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.073193, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.051231, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.054934, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.053786, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.07112, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.08923, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.06723, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059233, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.077837, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088375, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.063819, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.053226, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.072653, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.056208, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.079337, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.090115, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.062264, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05656, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072245, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.117596, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059189, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.052783, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082855, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.056449, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.069616, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.078819, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.065189, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.054801, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059486, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.071337, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.055338, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.054782, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.05982, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.068078, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.465627, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059208, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.089522, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.0813, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.081912, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.133318, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.027931, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.024912, 'sns': [327, 275, 259, 237, 275]}
{'dt': 12.012301, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.010135, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.055079, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.013135, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.024209, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.010597, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.016894, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061283, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.03143, 'sns': [327, 277, 259, 237, 275]}
