{'dt': 12.013956, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.977845, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.999548, 'sns': [722, 664, 736, 597, 609]}
{'dt': 11.983937, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.989216, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.977604, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.968123, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.0164, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.975493, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.971363, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.977975, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.977771, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.962307, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.976938, 'sns': [722, 664, 736, 598, 608]}
{'dt': 11.973456, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.970808, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.974974, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.983901, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.981548, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.960679, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.060122, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.089511, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.357269, 'sns': [722, 651, 735, 598, 608]}
{'dt': 12.069289, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.058863, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.058103, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.111104, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.091159, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.053752, 'sns': [722, 664, 736, 597, 608]}
{'dt': 12.08427, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.053622, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.088733, 'sns': [721, 665, 736, 597, 608]}
{'dt': 12.056956, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.050826, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.063752, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.116196, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.116566, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.065789, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.041493, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.052178, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.076196, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.121936, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.06866, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.078863, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.064011, 'sns': [722, 664, 736, 597, 608]}
{'dt': 12.084918, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.090418, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.070697, 'sns': [722, 665, 735, 598, 609]}
{'dt': 12.074918, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.067456, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.048714, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.087974, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.067289, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.062752, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.080733, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.057123, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.098677, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.054085, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.051826, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.045863, 'sns': [721, 665, 736, 597, 609]}
{'dt': 12.10903, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.056863, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.178732, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.065919, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.103455, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.069326, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.084919, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.042548, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.068789, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.098511, 'sns': [721, 665, 736, 598, 609]}
{'dt': 12.060566, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.130844, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.060623, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.042326, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.075788, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.077697, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.054881, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.051863, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.372658, 'sns': [722, 661, 736, 597, 609]}
{'dt': 12.088307, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.066881, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.050271, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.0464, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.45612, 'sns': [723, 665, 736, 597, 607]}
{'dt': 12.061548, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.053345, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.057918, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.092622, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.049123, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.041177, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.049289, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.085289, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.059456, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.058085, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.057548, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.052826, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.073344, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.052011, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.0774, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.057456, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.050363, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.047752, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.074048, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.043696, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.096307, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.310158, 'sns': [722, 652, 735, 598, 608]}
{'dt': 12.104122, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.062067, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.063233, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.048252, 'sns': [722, 664, 736, 597, 608]}
{'dt': 12.052993, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.0379, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.04227, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.060808, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.082178, 'sns': [722, 665, 736, 598, 608]}
