{'dt': 2.37135, 'sns': [757, 713, 841, 649, 679]}
{'dt': 2.36422, 'sns': [763, 716, 845, 650, 678]}
{'dt': 2.356182, 'sns': [767, 717, 848, 651, 679]}
{'dt': 2.354257, 'sns': [769, 719, 850, 651, 677]}
{'dt': 3.840948, 'sns': [758, 717, 849, 655, 677]}
{'dt': 2.401478, 'sns': [767, 720, 850, 654, 683]}
{'dt': 2.371628, 'sns': [772, 721, 848, 652, 682]}
{'dt': 2.35509, 'sns': [772, 720, 843, 653, 681]}
{'dt': 2.353664, 'sns': [771, 717, 841, 653, 682]}
{'dt': 2.351257, 'sns': [768, 717, 841, 654, 682]}
{'dt': 2.341998, 'sns': [770, 718, 841, 659, 687]}
{'dt': 2.353498, 'sns': [771, 719, 848, 662, 689]}
{'dt': 2.354923, 'sns': [770, 723, 852, 663, 690]}
{'dt': 2.354276, 'sns': [778, 726, 854, 663, 689]}
{'dt': 2.348534, 'sns': [780, 727, 855, 663, 688]}
{'dt': 2.353368, 'sns': [781, 727, 854, 662, 685]}
{'dt': 2.351813, 'sns': [780, 726, 784, 660, 684]}
{'dt': 2.354109, 'sns': [779, 723, 847, 661, 684]}
{'dt': 2.365034, 'sns': [773, 720, 847, 659, 682]}
{'dt': 2.35385, 'sns': [773, 721, 843, 660, 683]}
{'dt': 2.344164, 'sns': [775, 720, 847, 662, 684]}
{'dt': 2.338794, 'sns': [773, 722, 850, 662, 685]}
{'dt': 2.353276, 'sns': [775, 724, 811, 661, 685]}
{'dt': 2.372793, 'sns': [778, 724, 851, 661, 684]}
{'dt': 2.359331, 'sns': [779, 723, 803, 657, 680]}
{'dt': 2.364016, 'sns': [779, 722, 843, 657, 677]}
{'dt': 2.354887, 'sns': [778, 693, 803, 657, 677]}
{'dt': 2.373053, 'sns': [772, 715, 839, 655, 675]}
{'dt': 2.370516, 'sns': [770, 717, 836, 657, 674]}
{'dt': 2.364275, 'sns': [772, 716, 838, 659, 679]}
{'dt': 2.354257, 'sns': [770, 717, 843, 661, 682]}
{'dt': 2.355998, 'sns': [774, 721, 845, 662, 682]}
{'dt': 2.365312, 'sns': [779, 723, 847, 663, 682]}
{'dt': 2.35922, 'sns': [781, 725, 847, 661, 679]}
{'dt': 2.356035, 'sns': [783, 726, 842, 662, 678]}
{'dt': 2.353535, 'sns': [767, 701, 832, 663, 680]}
