{'flv': {'dt': 1, 'sns': [783, 279, 272, 275, 660], 'sp': 0, 'tn': -11.227}, 'lp': {'dt': 1, 'err': -14, 'o': -5.431, 'po': -4.2, 'io': -0.031, 'do': -1.2}, 'rp': {'dt': 1, 'err': -28, 'o': -11.227, 'po': -8.4, 'io': -0.127, 'do': -2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 265, 660], 'sp': 0, 'tn': -2.5089999999999995}, 'lp': {'dt': 1, 'err': -11, 'o': -2.42, 'po': -3.3, 'io': -0.02, 'do': 0.8999999999999999}, 'rp': {'dt': 1, 'err': -18, 'o': -2.5089999999999995, 'po': -5.3999999999999995, 'io': -0.109, 'do': 3.0}}
{'flv': {'dt': 1, 'sns': [783, 281, 286, 270, 660], 'sp': 0, 'tn': -8.532}, 'lp': {'dt': 1, 'err': -16, 'o': -6.335999999999999, 'po': -4.8, 'io': -0.036000000000000004, 'do': -1.5}, 'rp': {'dt': 1, 'err': -23, 'o': -8.532, 'po': -6.8999999999999995, 'io': -0.132, 'do': -1.5}}
{'flv': {'dt': 1, 'sns': [783, 277, 272, 272, 660], 'sp': 0, 'tn': -8.257}, 'lp': {'dt': 1, 'err': -12, 'o': -2.4239999999999995, 'po': -3.5999999999999996, 'io': -0.024, 'do': 1.2}, 'rp': {'dt': 1, 'err': -25, 'o': -8.257, 'po': -7.5, 'io': -0.157, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 270, 272, 263, 660], 'sp': 0, 'tn': -2.241}, 'lp': {'dt': 1, 'err': -5, 'o': 0.5810000000000002, 'po': -1.5, 'io': -0.019, 'do': 2.1}, 'rp': {'dt': 1, 'err': -16, 'o': -2.241, 'po': -4.8, 'io': -0.14100000000000001, 'do': 2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 266, 654], 'sp': 0, 'tn': -6.76}, 'lp': {'dt': 1, 'err': -11, 'o': -5.129999999999999, 'po': -3.3, 'io': -0.03, 'do': -1.7999999999999998}, 'rp': {'dt': 1, 'err': -19, 'o': -6.76, 'po': -5.7, 'io': -0.16, 'do': -0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [783, 295, 285, 267, 650], 'sp': 0, 'tn': 14.760000000000002}, 'lp': {'dt': 1, 'err': -30, 'o': -14.760000000000002, 'po': -9.0, 'io': -0.06, 'do': -5.7}, 'rp': {'dt': 1, 'err': -20, 'o': -6.4799999999999995, 'po': -6.0, 'io': -0.18, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 268, 656], 'sp': 0, 'tn': -6.800999999999999}, 'lp': {'dt': 1, 'err': -11, 'o': 2.3510000000000004, 'po': -3.3, 'io': -0.049, 'do': 5.7}, 'rp': {'dt': 1, 'err': -21, 'o': -6.800999999999999, 'po': -6.3, 'io': -0.201, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 284, 285, 276, 660], 'sp': 0, 'tn': -11.33}, 'lp': {'dt': 1, 'err': -19, 'o': -8.168, 'po': -5.7, 'io': -0.068, 'do': -2.4}, 'rp': {'dt': 1, 'err': -29, 'o': -11.33, 'po': -8.7, 'io': -0.23, 'do': -2.4}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 263, 660], 'sp': 0, 'tn': -1.1140000000000003}, 'lp': {'dt': 1, 'err': -10, 'o': -0.3580000000000001, 'po': -3.0, 'io': -0.058, 'do': 2.6999999999999997}, 'rp': {'dt': 1, 'err': -16, 'o': -1.1140000000000003, 'po': -4.8, 'io': -0.214, 'do': 3.9}}
{'flv': {'dt': 1, 'sns': [783, 290, 286, 277, 660], 'sp': 0, 'tn': -13.443999999999999}, 'lp': {'dt': 1, 'err': -25, 'o': -12.083, 'po': -7.5, 'io': -0.083, 'do': -4.5}, 'rp': {'dt': 1, 'err': -30, 'o': -13.443999999999999, 'po': -9.0, 'io': -0.244, 'do': -4.2}}
{'flv': {'dt': 1, 'sns': [783, 267, 272, 262, 660], 'sp': 0, 'tn': -0.2290000000000001}, 'lp': {'dt': 1, 'err': -2, 'o': 6.218999999999999, 'po': -0.6, 'io': -0.081, 'do': 6.8999999999999995}, 'rp': {'dt': 1, 'err': -15, 'o': -0.2290000000000001, 'po': -4.5, 'io': -0.229, 'do': 4.5}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 266, 660], 'sp': 0, 'tn': -7.148000000000001}, 'lp': {'dt': 1, 'err': -11, 'o': -6.092, 'po': -3.3, 'io': -0.092, 'do': -2.6999999999999997}, 'rp': {'dt': 1, 'err': -19, 'o': -7.148000000000001, 'po': -5.7, 'io': -0.248, 'do': -1.2}}
{'flv': {'dt': 1, 'sns': [783, 289, 285, 267, 660], 'sp': 0, 'tn': 11.216}, 'lp': {'dt': 1, 'err': -24, 'o': -11.216, 'po': -7.199999999999999, 'io': -0.116, 'do': -3.9}, 'rp': {'dt': 1, 'err': -20, 'o': -6.568, 'po': -6.0, 'io': -0.268, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 265, 660], 'sp': 0, 'tn': -5.05}, 'lp': {'dt': 1, 'err': -11, 'o': 0.4950000000000001, 'po': -3.3, 'io': -0.105, 'do': 3.9}, 'rp': {'dt': 1, 'err': -18, 'o': -5.05, 'po': -5.3999999999999995, 'io': -0.25, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [783, 282, 272, 269, 660], 'sp': 0, 'tn': -8.072}, 'lp': {'dt': 1, 'err': -17, 'o': -7.021999999999999, 'po': -5.1, 'io': -0.122, 'do': -1.7999999999999998}, 'rp': {'dt': 1, 'err': -22, 'o': -8.072, 'po': -6.6, 'io': -0.272, 'do': -1.2}}
{'flv': {'dt': 1, 'sns': [783, 278, 272, 265, 660], 'sp': 0, 'tn': -4.454}, 'lp': {'dt': 1, 'err': -13, 'o': -2.809, 'po': -3.9, 'io': -0.109, 'do': 1.2}, 'rp': {'dt': 1, 'err': -18, 'o': -4.454, 'po': -5.3999999999999995, 'io': -0.254, 'do': 1.2}}
{'flv': {'dt': 1, 'sns': [783, 296, 277, 267, 660], 'sp': 0, 'tn': 14.84}, 'lp': {'dt': 1, 'err': -31, 'o': -14.84, 'po': -9.299999999999999, 'io': -0.14, 'do': -5.3999999999999995}, 'rp': {'dt': 1, 'err': -20, 'o': -6.874, 'po': -6.0, 'io': -0.274, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 275, 660], 'sp': 0, 'tn': -11.102}, 'lp': {'dt': 1, 'err': -10, 'o': 3.17, 'po': -3.0, 'io': -0.13, 'do': 6.3}, 'rp': {'dt': 1, 'err': -28, 'o': -11.102, 'po': -8.4, 'io': -0.302, 'do': -2.4}}
{'flv': {'dt': 1, 'sns': [783, 277, 272, 266, 649], 'sp': 0, 'tn': 4.342}, 'lp': {'dt': 1, 'err': -12, 'o': -4.342, 'po': -3.5999999999999996, 'io': -0.14200000000000002, 'do': -0.6}, 'rp': {'dt': 1, 'err': -19, 'o': -3.283000000000001, 'po': -5.7, 'io': -0.28300000000000003, 'do': 2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 272, 272, 264, 660], 'sp': 0, 'tn': -4.766}, 'lp': {'dt': 1, 'err': -7, 'o': -0.7350000000000003, 'po': -2.1, 'io': -0.135, 'do': 1.5}, 'rp': {'dt': 1, 'err': -17, 'o': -4.766, 'po': -5.1, 'io': -0.266, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [783, 285, 282, 268, 660], 'sp': 0, 'tn': 10.055}, 'lp': {'dt': 1, 'err': -20, 'o': -10.055, 'po': -6.0, 'io': -0.155, 'do': -3.9}, 'rp': {'dt': 1, 'err': -21, 'o': -7.787, 'po': -6.3, 'io': -0.28700000000000003, 'do': -1.2}}
{'flv': {'dt': 1, 'sns': [783, 290, 285, 267, 660], 'sp': 0, 'tn': 9.18}, 'lp': {'dt': 1, 'err': -25, 'o': -9.18, 'po': -7.5, 'io': -0.18, 'do': -1.5}, 'rp': {'dt': 1, 'err': -20, 'o': -5.9670000000000005, 'po': -6.0, 'io': -0.267, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 290, 284, 267, 660], 'sp': 0, 'tn': 7.705}, 'lp': {'dt': 1, 'err': -25, 'o': -7.705, 'po': -7.5, 'io': -0.20500000000000002, 'do': 0.0}, 'rp': {'dt': 1, 'err': -20, 'o': -6.287, 'po': -6.0, 'io': -0.28700000000000003, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 285, 272, 255, 660], 'sp': 0, 'tn': 4.685}, 'lp': {'dt': 1, 'err': -20, 'o': -4.685, 'po': -6.0, 'io': -0.185, 'do': 1.5}, 'rp': {'dt': 1, 'err': -8, 'o': 0.9209999999999998, 'po': -2.4, 'io': -0.279, 'do': 3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [783, 298, 293, 262, 660], 'sp': 0, 'tn': 14.018}, 'lp': {'dt': 1, 'err': -33, 'o': -14.018, 'po': -9.9, 'io': -0.218, 'do': -3.9}, 'rp': {'dt': 1, 'err': -15, 'o': -6.894, 'po': -4.5, 'io': -0.294, 'do': -2.1}}
{'flv': {'dt': 1, 'sns': [778, 280, 283, 268, 660], 'sp': 0, 'tn': -8.415}, 'lp': {'dt': 1, 'err': -15, 'o': 0.6969999999999992, 'po': -4.5, 'io': -0.203, 'do': 5.3999999999999995}, 'rp': {'dt': 1, 'err': -21, 'o': -8.415, 'po': -6.3, 'io': -0.315, 'do': -1.7999999999999998}}
{'flv': {'dt': 1, 'sns': [783, 288, 294, 267, 660], 'sp': 0, 'tn': 9.526}, 'lp': {'dt': 1, 'err': -23, 'o': -9.526, 'po': -6.8999999999999995, 'io': -0.226, 'do': -2.4}, 'rp': {'dt': 1, 'err': -20, 'o': -5.995, 'po': -6.0, 'io': -0.295, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 271, 272, 266, 653], 'sp': 0, 'tn': -5.676}, 'lp': {'dt': 1, 'err': -6, 'o': 3.0799999999999996, 'po': -1.7999999999999998, 'io': -0.22, 'do': 5.1}, 'rp': {'dt': 1, 'err': -19, 'o': -5.676, 'po': -5.7, 'io': -0.276, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 289, 284, 264, 660], 'sp': 0, 'tn': 12.843999999999998}, 'lp': {'dt': 1, 'err': -24, 'o': -12.843999999999998, 'po': -7.199999999999999, 'io': -0.244, 'do': -5.3999999999999995}, 'rp': {'dt': 1, 'err': -17, 'o': -4.759, 'po': -5.1, 'io': -0.259, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 266, 660], 'sp': 0, 'tn': -6.577999999999999}, 'lp': {'dt': 1, 'err': -10, 'o': 0.9660000000000002, 'po': -3.0, 'io': -0.234, 'do': 4.2}, 'rp': {'dt': 1, 'err': -19, 'o': -6.577999999999999, 'po': -5.7, 'io': -0.278, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 288, 284, 267, 660], 'sp': 0, 'tn': 11.056999999999999}, 'lp': {'dt': 1, 'err': -23, 'o': -11.056999999999999, 'po': -6.8999999999999995, 'io': -0.257, 'do': -3.9}, 'rp': {'dt': 1, 'err': -20, 'o': -6.598, 'po': -6.0, 'io': -0.298, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 278, 272, 265, 660], 'sp': 0, 'tn': -5.08}, 'lp': {'dt': 1, 'err': -13, 'o': -1.1440000000000001, 'po': -3.9, 'io': -0.244, 'do': 3.0}, 'rp': {'dt': 1, 'err': -18, 'o': -5.08, 'po': -5.3999999999999995, 'io': -0.28, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [783, 288, 284, 267, 660], 'sp': 0, 'tn': 10.167}, 'lp': {'dt': 1, 'err': -23, 'o': -10.167, 'po': -6.8999999999999995, 'io': -0.267, 'do': -3.0}, 'rp': {'dt': 1, 'err': -20, 'o': -6.8999999999999995, 'po': -6.0, 'io': -0.3, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 266, 660], 'sp': 0, 'tn': -5.681}, 'lp': {'dt': 1, 'err': -10, 'o': 0.6429999999999998, 'po': -3.0, 'io': -0.257, 'do': 3.9}, 'rp': {'dt': 1, 'err': -19, 'o': -5.681, 'po': -5.7, 'io': -0.281, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 290, 283, 268, 660], 'sp': 0, 'tn': 12.282}, 'lp': {'dt': 1, 'err': -25, 'o': -12.282, 'po': -7.5, 'io': -0.28200000000000003, 'do': -4.5}, 'rp': {'dt': 1, 'err': -21, 'o': -7.201999999999999, 'po': -6.3, 'io': -0.302, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 277, 272, 254, 660], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': -12, 'o': 0.03000000000000025, 'po': -3.5999999999999996, 'io': -0.27, 'do': 3.9}, 'rp': {'dt': 1, 'err': -7, 'o': 1.8050000000000002, 'po': -2.1, 'io': -0.295, 'do': 4.2}}
{'flv': {'dt': 1, 'sns': [779, 265, 278, 266, 648], 'sp': 12, 'tn': -9.614}, 'lp': {'dt': 1, 'err': 0, 'o': 3.5999999999999996, 'po': 0.0, 'io': 0.0, 'do': 3.5999999999999996}, 'rp': {'dt': 1, 'err': -19, 'o': -9.614, 'po': -5.7, 'io': -0.314, 'do': -3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [783, 288, 283, 265, 660], 'sp': 12, 'tn': 13.822999999999999}, 'lp': {'dt': 1, 'err': -23, 'o': -13.822999999999999, 'po': -6.8999999999999995, 'io': -0.023, 'do': -6.8999999999999995}, 'rp': {'dt': 1, 'err': -18, 'o': -5.396, 'po': -5.3999999999999995, 'io': -0.296, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 281, 272, 264, 660], 'sp': 12, 'tn': -5.079}, 'lp': {'dt': 1, 'err': -16, 'o': -2.7069999999999994, 'po': -4.8, 'io': -0.007, 'do': 2.1}, 'rp': {'dt': 1, 'err': -17, 'o': -5.079, 'po': -5.1, 'io': -0.279, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [783, 272, 272, 266, 660], 'sp': 12, 'tn': -6.598}, 'lp': {'dt': 1, 'err': -7, 'o': 0.5999999999999996, 'po': -2.1, 'io': 0.0, 'do': 2.6999999999999997}, 'rp': {'dt': 1, 'err': -19, 'o': -6.598, 'po': -5.7, 'io': -0.298, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 297, 283, 267, 660], 'sp': 12, 'tn': 17.131999999999998}, 'lp': {'dt': 1, 'err': -32, 'o': -17.131999999999998, 'po': -9.6, 'io': -0.032, 'do': -7.5}, 'rp': {'dt': 1, 'err': -20, 'o': -6.617999999999999, 'po': -6.0, 'io': -0.318, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 278, 272, 262, 660], 'sp': 12, 'tn': -3.303}, 'lp': {'dt': 1, 'err': -13, 'o': 1.7810000000000001, 'po': -3.9, 'io': -0.019, 'do': 5.7}, 'rp': {'dt': 1, 'err': -15, 'o': -3.303, 'po': -4.5, 'io': -0.303, 'do': 1.5}}
{'flv': {'dt': 1, 'sns': [783, 273, 272, 267, 660], 'sp': 12, 'tn': -7.823}, 'lp': {'dt': 1, 'err': -8, 'o': -0.911, 'po': -2.4, 'io': -0.011, 'do': 1.5}, 'rp': {'dt': 1, 'err': -20, 'o': -7.823, 'po': -6.0, 'io': -0.323, 'do': -1.5}}
{'flv': {'dt': 1, 'sns': [783, 289, 284, 275, 660], 'sp': 12, 'tn': 12.035}, 'lp': {'dt': 1, 'err': -24, 'o': -12.035, 'po': -7.199999999999999, 'io': -0.035, 'do': -4.8}, 'rp': {'dt': 1, 'err': -28, 'o': -11.151000000000002, 'po': -8.4, 'io': -0.35100000000000003, 'do': -2.4}}
{'flv': {'dt': 1, 'sns': [783, 290, 293, 265, 660], 'sp': 12, 'tn': 7.859999999999999}, 'lp': {'dt': 1, 'err': -25, 'o': -7.859999999999999, 'po': -7.5, 'io': -0.06, 'do': -0.3}, 'rp': {'dt': 1, 'err': -18, 'o': -2.7329999999999997, 'po': -5.3999999999999995, 'io': -0.333, 'do': 3.0}}
