{'flv': {'dt': 1, 'sns': [317, 266, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -1, 'o': -0.6, 'po': -0.3, 'io': 0, 'do': -0.3}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [318, 275, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -10, 'o': -5.699999999999999, 'po': -3.0, 'io': 0, 'do': -2.6999999999999997}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [316, 276, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -11, 'o': -3.5999999999999996, 'po': -3.3, 'io': 0, 'do': -0.3}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [321, 278, 273, 657, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -13, 'o': -4.5, 'po': -3.9, 'io': 0, 'do': -0.6}, 'rp': {'dt': 1, 'err': -410, 'o': -100, 'po': -123.0, 'io': 0, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [322, 278, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -13, 'o': -3.9, 'po': -3.9, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [333, 277, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -12, 'o': -3.3, 'po': -3.5999999999999996, 'io': 0, 'do': 0.3}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [334, 279, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -14, 'o': -4.8, 'po': -4.2, 'io': 0, 'do': -0.6}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [346, 286, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -21, 'o': -8.4, 'po': -6.3, 'io': 0, 'do': -2.1}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [357, 267, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -2, 'o': 5.1000000000000005, 'po': -0.6, 'io': 0, 'do': 5.7}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [359, 275, 272, 648, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -10, 'o': -5.4, 'po': -3.0, 'io': 0, 'do': -2.4}, 'rp': {'dt': 1, 'err': -401, 'o': -100, 'po': -120.3, 'io': 0, 'do': 3.0}}
{'flv': {'dt': 1, 'sns': [370, 270, 272, 644, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -5, 'o': 0.0, 'po': -1.5, 'io': 0, 'do': 1.5}, 'rp': {'dt': 1, 'err': -397, 'o': -100, 'po': -119.1, 'io': 0, 'do': 1.2}}
{'flv': {'dt': 1, 'sns': [379, 273, 272, 638, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': -8, 'o': -3.3, 'po': -2.4, 'io': 0, 'do': -0.8999999999999999}, 'rp': {'dt': 1, 'err': -391, 'o': -100, 'po': -117.3, 'io': 0, 'do': 1.7999999999999998}}
{'flv': {'dt': 1, 'sns': [389, 265, 272, 626, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 2.4, 'po': 0.0, 'io': 0, 'do': 2.4}, 'rp': {'dt': 1, 'err': -379, 'o': -100, 'po': -113.7, 'io': 0, 'do': 3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [397, 265, 272, 614, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -367, 'o': -100, 'po': -110.1, 'io': 0, 'do': 3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [408, 265, 272, 603, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -356, 'o': -100, 'po': -106.8, 'io': 0, 'do': 3.3}}
{'flv': {'dt': 1, 'sns': [421, 265, 274, 588, 660], 'sp': 0, 'tn': -97.8}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -341, 'o': -97.8, 'po': -102.3, 'io': 0, 'do': 4.5}}
{'flv': {'dt': 1, 'sns': [435, 265, 281, 573, 660], 'sp': 0, 'tn': -93.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -326, 'o': -93.3, 'po': -97.8, 'io': 0, 'do': 4.5}}
{'flv': {'dt': 1, 'sns': [451, 265, 282, 547, 660], 'sp': 0, 'tn': -82.2}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -300, 'o': -82.2, 'po': -90.0, 'io': 0, 'do': 7.8}}
{'flv': {'dt': 1, 'sns': [476, 265, 289, 545, 660], 'sp': 0, 'tn': -88.8}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -298, 'o': -88.8, 'po': -89.39999999999999, 'io': 0, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [500, 265, 291, 533, 660], 'sp': 0, 'tn': -82.2}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -286, 'o': -82.2, 'po': -85.8, 'io': 0, 'do': 3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [524, 265, 289, 520, 660], 'sp': 0, 'tn': -77.99999999999999}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -273, 'o': -77.99999999999999, 'po': -81.89999999999999, 'io': 0, 'do': 3.9}}
{'flv': {'dt': 1, 'sns': [549, 267, 282, 509, 660], 'sp': 0, 'tn': -75.3}, 'lp': {'dt': 1, 'err': -2, 'o': -1.2, 'po': -0.6, 'io': 0, 'do': -0.6}, 'rp': {'dt': 1, 'err': -262, 'o': -75.3, 'po': -78.6, 'io': 0, 'do': 3.3}}
{'flv': {'dt': 1, 'sns': [576, 277, 278, 502, 660], 'sp': 0, 'tn': -74.4}, 'lp': {'dt': 1, 'err': -12, 'o': -6.6, 'po': -3.5999999999999996, 'io': 0, 'do': -3.0}, 'rp': {'dt': 1, 'err': -255, 'o': -74.4, 'po': -76.5, 'io': 0, 'do': 2.1}}
{'flv': {'dt': 1, 'sns': [602, 283, 272, 490, 660], 'sp': 0, 'tn': -69.3}, 'lp': {'dt': 1, 'err': -18, 'o': -7.199999999999999, 'po': -5.3999999999999995, 'io': 0, 'do': -1.7999999999999998}, 'rp': {'dt': 1, 'err': -243, 'o': -69.3, 'po': -72.89999999999999, 'io': 0, 'do': 3.5999999999999996}}
{'flv': {'dt': 1, 'sns': [628, 289, 272, 458, 660], 'sp': 0, 'tn': -53.699999999999996}, 'lp': {'dt': 1, 'err': -24, 'o': -9.0, 'po': -7.199999999999999, 'io': 0, 'do': -1.7999999999999998}, 'rp': {'dt': 1, 'err': -211, 'o': -53.699999999999996, 'po': -63.3, 'io': 0, 'do': 9.6}}
{'flv': {'dt': 1, 'sns': [654, 290, 272, 428, 660], 'sp': 0, 'tn': -45.3}, 'lp': {'dt': 1, 'err': -25, 'o': -7.8, 'po': -7.5, 'io': 0, 'do': -0.3}, 'rp': {'dt': 1, 'err': -181, 'o': -45.3, 'po': -54.3, 'io': 0, 'do': 9.0}}
{'flv': {'dt': 1, 'sns': [681, 288, 272, 417, 660], 'sp': 0, 'tn': -47.7}, 'lp': {'dt': 1, 'err': -23, 'o': -6.3, 'po': -6.8999999999999995, 'io': 0, 'do': 0.6}, 'rp': {'dt': 1, 'err': -170, 'o': -47.7, 'po': -51.0, 'io': 0, 'do': 3.3}}
