{'flv': {'tm': 1652532645083085273, 'dt': 2.536061, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.536061, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.536061, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645085628834, 'dt': 2.575598, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.575598, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.575598, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645088178858, 'dt': 2.541561, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.541561, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.541561, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645090700252, 'dt': 2.550005, 'sns': [100, 1, 0, 0, 93], 'sp': 18, 'tn': 8.143121876231614}, 'lp': {'dt': 2.550005, 'err': -1, 'o': -8.143121876231614, 'po': -0.3, 'io': -0.0, 'do': -7.843121876231614}, 'rp': {'dt': 2.550005, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645093262091, 'dt': 2.520487, 'sns': [100, 2, 0, 0, 92], 'sp': 18, 'tn': 8.534974471203382}, 'lp': {'dt': 2.520487, 'err': -2, 'o': -8.534974471203382, 'po': -0.6, 'io': -0.0, 'do': -7.9349744712033825}, 'rp': {'dt': 2.520487, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645095783170, 'dt': 2.561746, 'sns': [100, 2, 0, 0, 92], 'sp': 18, 'tn': 0.6}, 'lp': {'dt': 2.561746, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': -0.0, 'do': 0.0}, 'rp': {'dt': 2.561746, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645098322861, 'dt': 2.521098, 'sns': [100, 2, 0, 0, 92], 'sp': 18, 'tn': 0.6}, 'lp': {'dt': 2.521098, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': -0.0, 'do': 0.0}, 'rp': {'dt': 2.521098, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645100838663, 'dt': 2.539876, 'sns': [100, 2, 0, 0, 91], 'sp': 18, 'tn': 0.6}, 'lp': {'dt': 2.539876, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': -0.0, 'do': 0.0}, 'rp': {'dt': 2.539876, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645103462242, 'dt': 2.515154, 'sns': [100, 2, 0, 0, 91], 'sp': 18, 'tn': 0.6}, 'lp': {'dt': 2.515154, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': -0.0, 'do': 0.0}, 'rp': {'dt': 2.515154, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645106032877, 'dt': 2.628042, 'sns': [100, 1, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.628042, 'err': -1, 'o': 7.310228451447884, 'po': -0.3, 'io': -0.0, 'do': 7.610228451447884}, 'rp': {'dt': 2.628042, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645108593160, 'dt': 2.568875, 'sns': [100, 0, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.568875, 'err': 0, 'o': 7.785509220962484, 'po': 0.0, 'io': 0.0, 'do': 7.785509220962484}, 'rp': {'dt': 2.568875, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645111166665, 'dt': 2.559154, 'sns': [100, 0, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.559154, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.559154, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645113735319, 'dt': 2.572746, 'sns': [100, 0, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.572746, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.572746, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645116312842, 'dt': 2.570987, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.570987, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.570987, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645118871922, 'dt': 2.575986, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.575986, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.575986, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645121448223, 'dt': 2.559728, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.559728, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.559728, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645124027599, 'dt': 2.575505, 'sns': [100, 0, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.575505, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.575505, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645126631178, 'dt': 2.581339, 'sns': [100, 0, 0, 0, 92], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.581339, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.581339, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645129222368, 'dt': 2.60356, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.60356, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.60356, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645131824985, 'dt': 2.590931, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.590931, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.590931, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645134373601, 'dt': 2.602616, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.602616, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.602616, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645136920477, 'dt': 2.546987, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.546987, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.546987, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645139489186, 'dt': 2.547246, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.547246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.547246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645142098061, 'dt': 2.570376, 'sns': [100, 0, 0, 0, 93], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.570376, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.570376, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645144635400, 'dt': 2.606913, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.606913, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.606913, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645147220850, 'dt': 2.537172, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.537172, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.537172, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645149802188, 'dt': 2.587301, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.587301, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.587301, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645152400082, 'dt': 2.580728, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.580728, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.580728, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645154969976, 'dt': 2.598005, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.598005, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.598005, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645157515278, 'dt': 2.571135, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.571135, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.571135, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645160086431, 'dt': 2.544209, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.544209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.544209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645162699862, 'dt': 2.573357, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.573357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.573357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645165265720, 'dt': 2.611246, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.611246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.611246, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645167808577, 'dt': 2.564135, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.564135, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.564135, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645170347027, 'dt': 2.543431, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.543431, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.543431, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645172922902, 'dt': 2.539579, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.539579, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.539579, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645175473334, 'dt': 2.576357, 'sns': [100, 0, 0, 0, 94], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.576357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.576357, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645178067524, 'dt': 2.549209, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.549209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.549209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645180656066, 'dt': 2.594209, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.594209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.594209, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645183222794, 'dt': 2.589228, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.589228, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.589228, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645185762003, 'dt': 2.566524, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.566524, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.566524, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645188347823, 'dt': 2.538727, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.538727, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.538727, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645190890698, 'dt': 2.587783, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.587783, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.587783, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
